LegendText,RgbString
"Glacic Anhyturbels","#F259A7"
"Glacic Aquiturbels","#F5588D"
"Glacic Aquorthels","#745ED7"
"Glacic Argiorthels","#5FAE71"
"Glacic Folistels","#5FAE73"
"Glacic Haplorthels","#CD5CE4"
"Glacic Haploturbels","#928B5B"
"Glacic Historthels","#7D5ED8"
"Glacic Histoturbels","#F75884"
"Glacic Molliturbels","#60B283"
"Glacic Mollorthels","#EC5BD0"
"Glacic Psammorthels","#F75883"
"Glacic Psammoturbels","#7E9F5D"
"Glacic Umbriturbels","#F65887"
"Glacic Umbrorthels","#60ADC2"
"Glossaquic Eutroboralfs","#8E805A"
"Glossaquic Fragiudalfs","#60BAA9"
"Glossaquic Fragiudults","#825D56"
"Glossaquic Hapludalfs","#60A0C6"
"Glossaquic Natrudalfs","#6B5FD5"
"Glossaquic Paleudalfs","#EE5AC3"
"Glossic Cryoboralfs","#5F6FD0"
"Glossic Eutroboralfs","#6AA65E"
"Glossic Fragiudalfs","#60B58E"
"Glossic Fragiudults","#855ED9"
"Glossic Hapludalfs","#839D5D"
"Glossic Natraqualfs","#73A35E"
"Glossic Natraquolls","#5FB17D"
"Glossic Natrargids","#8F815A"
"Glossic Natriborolls","#FC5658"
"Glossic Natrudalfs","#815956"
"Glossic Natrudolls","#60B58F"
"Glossic Natrustolls","#5FB078"
"Glossic Oxyaquic Eutroboralfs","#5F75CF"
"Glossic Paleudalfs","#60B79B"
"Glossic Udic Natriborolls","#5F74CF"
"Glossic Ustic Natrargids","#886B58"
"Glossic Ustollic Natrargids","#BB5DE2"
"Glossic Vertic Natrudolls","#CA5CE4"
"Glossic Vertic Natrustolls","#899A5C"
"Glossoboralfic","#F259A4"
"Glossoboric Hapludalfs","#5F85CC"
"Grossarenic Alaquods","#6BA55E"
"Grossarenic Alorthods","#D95CE6"
"Grossarenic Argiaquolls","#6CA55E"
"Grossarenic Endoaqualfs","#F3599D"
"Grossarenic Endoaquults","#65A75F"
"Grossarenic Entic Alorthods","#5F7BCE"
"Grossarenic Entic Haplohumods","#F259A3"
"Grossarenic Epiaqualfs","#BB5DE2"
"Grossarenic Epiaquults","#77A15E"
"Grossarenic Glossaqualfs","#D85CE6"
"Grossarenic Haplaquods","#F259A6"
"Grossarenic Haplohumods","#E55CE7"
"Grossarenic Haploxerults","#90865A"
"Grossarenic Hapludults","#5F77CE"
"Grossarenic Kandiaqualfs","#60B591"
"Grossarenic Kandiaquults","#90845A"
"Grossarenic Kandiudalfs","#60B283"
"Grossarenic Kandiudults","#EE5ABD"
"Grossarenic Kandiustalfs","#5FB079"
"Grossarenic Natrustalfs","#60B283"
"Grossarenic Ochraqualfs","#67A75E"
"Grossarenic Paleaquults","#8A5EDA"
"Grossarenic Paleudalfs","#60B79A"
"Grossarenic Paleudults","#FB5663"
"Grossarenic Paleustalfs","#F45898"
"Grossarenic Plinthic Kandiudalfs","#8A9A5C"
"Grossarenic Plinthic Kandiudults","#5FB281"
"Grossarenic Plinthic Paleudalfs","#5F7FCD"
"Grossarenic Plinthic Paleudults","#5F7BCE"
"Grossarenic Umbraqualfs","#60BBBF"
"Grossic Hydrowassents","#BD5DE2"
"Gypsic Anhyorthels","#F3599D"
"Gypsic Anhyturbels","#61A95F"
"Gypsic Aquisalids","#965EDC"
"Gypsic Calciustepts","#876858"
"Gypsic Calciustolls","#CF5CE4"
"Gypsic Haplosalids","#866657"
"Gypsic Haploxerepts","#6AA65E"
"Gypsic Haplustepts","#60BBBF"
"Gypsic Haplusterts","#EF5ABC"
"Gypsic Ustochrepts","#825C56"
"Gypsic Xerochrepts","#A45DDE"
"Halic Calciusterts","#60B4C1"
"Halic Durixererts","#6096C8"
"Halic Endoaquerts","#C85CE3"
"Halic Epiaquerts","#F159AC"
"Halic Gypsiusterts","#63A85F"
"Halic Haplosaprists","#875EDA"
"Halic Haplotorrerts","#60B798"
"Halic Haploxererts","#846157"
"Halic Haplusterts","#E65CE7"
"Halic Terric Haplosaprists","#895EDA"
"Haplaquic","#815A56"
"Haplaquodic","#5F82CC"
"Haplaquodic Humaquepts","#8D7B59"
"Haplaquodic Quartzipsamments","#60BAA6"
"Haplargidic Natrustalfs","#8C7859"
"Haplic Acrorthox","#5FAD6E"
"Haplic Andaquepts","#60ACC3"
"Haplic Cryohumods","#5F7ACE"
"Haplic Durargids","#DE5CE6"
"Haplic Durixeralfs","#7F9E5D"
"Haplic Durixererts","#945EDC"
"Haplic Durixerolls","#5F83CC"
"Haplic Durustolls","#5FAB67"
"Haplic Glossudalfs","#60AFC2"
"Haplic Haploxerollic Durixerolls","#7F9E5D"
"Haplic Nadurargids","#60B695"
"Haplic Natrargids","#5F70D0"
"Haplic Palexeralfs","#EE5AC0"
"Haplic Palexerollic Durixerolls","#ED5ACA"
"Haplic Palexerolls","#7A5ED8"
"Haplic Placaquepts","#60BCB6"
"Haplic Plinthustults","#955EDC"
"Haplic Sulfaquents","#F159AA"
"Haplic Sulfiwassents","#60B8A0"
"Haplic Torriarents","#8F835A"
"Haplic Udarents","#5F65D2"
"Haplic Ustarents","#D65CE5"
"Haplic Ustic Natrargids","#755ED7"
"Haplic Vermiborolls","#5F5FD3"
"Haplic Vermudolls","#876758"
"Haplic Vermustolls","#60A3C5"
"Haplic Xerarents","#7AA05E"
"Haplocalcidic Haplustepts","#8F805A"
"Haplocalcidic Ustochrepts","#6E5FD6"
"Haploduridic Durixerolls","#60B58F"
"Haploduridic Durustolls","#8C995C"
"Haploduridic Torriorthents","#5F79CE"
"Haploduridic Torripsamments","#5F69D1"
"Haploduridic Xeric Torriorthents","#EF5AB9"
"Haploduridic Xeric Torripsamments","#F259A8"
"Haploxeralfic Argidurids","#E95BDE"
"Haploxeralfic Natrargids","#60B798"
"Haploxerandic Dystrocryepts","#60B48A"
"Haploxerandic Haplocryepts","#5F65D2"
"Haploxerandic Humicryepts","#8F805A"
"Haploxerollic Durargids","#928C5B"
"Haploxerollic Durixerolls","#5F6CD0"
"Haploxerollic Durorthids","#849C5D"
"Haploxerollic Nadurargids","#60B48D"
"Haploxerollic Natrargids","#5F79CE"
"Hapludic Vermiborolls","#60A6C4"
"Hapludollic","#876858"
"Hapludollic Arents","#F75780"
"Haplustandic Haplocryepts","#805756"
"Haplustollic Durorthids","#856457"
"Haplustollic Natrargids","#E75CE8"
"Hemic Borofibrists","#F95775"
"Hemic Borosaprists","#60A2C5"
"Hemic Glacistels","#815A56"
"Hemic Haplofibrists","#8C7959"
"Hemic Haplosaprists","#6090C9"
"Hemic Medifibrists","#5FAA61"
"Hemic Medisaprists","#60B695"
"Hemic Sphagnofibrists","#60BBAC"
"Hemic Terric Borofibrists","#866758"
"Hemic Terric Borosaprists","#835E57"
"Hemic Terric Medifibrists","#F159AD"
"Hemic Terric Medisaprists","#605FD3"
"Hemic Terric Tropofibrists","#5F84CC"
"Hemic Terric Troposaprists","#60BCBF"
"Hemic Tropofibrists","#EB5BD4"
"Hemic Troposaprists","#EE5AC1"
"Histic Alaquods","#EF5ABC"
"Histic Andaquepts","#60BBAC"
"Histic Cryaquands","#F75880"
"Histic Cryaquepts","#8C7759"
"Histic Cryaquolls","#7B5ED8"
"Histic Duraquands","#5FAD6C"
"Histic Duraquods","#60B386"
"Histic Endoaquands","#928B5B"
"Histic Endoaquods","#E95BE1"
"Histic Endoaquolls","#8F825A"
"Histic Epiaquands","#F259A4"
"Histic Epiaquods","#C35CE3"
"Histic Epiaquolls","#93955B"
"Histic Eutraquox","#F259A8"
"Histic Fluvaquents","#5F7DCD"
"Histic Fragiaquods","#8E985C"
"Histic Gelaquands","#EB5BD3"
"Histic Gelaquepts","#F5588E"
"Histic Glossaqualfs","#C35CE3"
"Histic Haplaquods","#F55894"
"Histic Haplaquolls","#E95BE1"
"Histic Haplaquox","#60B9A2"
"Histic Humaquepts","#60BDB8"
"Histic Lithic Cryaquepts","#835ED9"
"Histic Pergelic Cryaquepts","#A95DDF"
"Histic Placaquands","#93955B"
"Histic Placaquepts","#608CCA"
"Histic Placic Petraquepts","#78A15E"
"Histic Sulfaquents","#60AAC3"
"Histic Tropaquepts","#6085CC"
"Histic Tropaquods","#675FD4"
"Histic Vitraquands","#8B995C"
"Humaqueptic Endoaquents","#685FD5"
"Humaqueptic Epiaquents","#5F6DD0"
"Humaqueptic Fluvaquents","#5FB180"
"Humaqueptic Psammaquents","#AB5DDF"
"Humic Acroperox","#7A5ED8"
"Humic Acrudox","#76A25E"
"Humic Acrustox","#7BA05D"
"Humic Cryaquepts","#EA5BDB"
"Humic Cryorthods","#6FA45E"
"Humic Duricryods","#60AAC3"
"Humic Durustands","#AF5DE0"
"Humic Dystrocryepts","#91885A"
"Humic Dystrogelepts","#886C58"
"Humic Dystroxerepts","#899A5C"
"Humic Dystrudepts","#5F6FD0"
"Humic Dystrustepts","#889B5D"
"Humic Endoaquepts","#FA576C"
"Humic Epiaquepts","#BF5DE2"
"Humic Eutraquox","#5F62D2"
"Humic Eutrocryepts","#899A5C"
"Humic Eutrogelepts","#F55890"
"Humic Eutroperox","#EE5ABE"
"Humic Eutrudepts","#F4599A"
"Humic Eutrudox","#93955B"
"Humic Eutrustox","#69A65E"
"Humic Fragiaqualfs","#68A65E"
"Humic Fragiaquepts","#5F7ECD"
"Humic Fragiorthods","#6093C9"
"Humic Fragiudepts","#7E5ED8"
"Humic Fragiudults","#60BDBB"
"Humic Fragixerepts","#675FD4"
"Humic Gelaquepts","#70A45E"
"Humic Haplaquepts","#5F5FD3"
"Humic Haplaquox","#68A75E"
"Humic Haploperox","#846157"
"Humic Haplorthods","#B75DE1"
"Humic Haploxerands","#928D5B"
"Humic Haploxerepts","#8D985C"
"Humic Hapludox","#60B798"
"Humic Hapludults","#E85BE6"
"Humic Haplustands","#7AA05E"
"Humic Haplustox","#876958"
"Humic Inceptic Eutroperox","#5FB180"
"Humic Inceptic Eutrudox","#94955B"
"Humic Inceptic Eutrustox","#5FAD6C"
"Humic Kandiperox","#60BCB6"
"Humic Kandiudox","#835D56"
"Humic Kandiustox","#EA5BD8"
"Humic Lithic","#60B284"
"Humic Lithic Cryorthods","#5FAC69"
"Humic Lithic Dystrocryepts","#F65886"
"Humic Lithic Dystroxerepts","#BA5DE2"
"Humic Lithic Dystrudepts","#5FB17D"
"Humic Lithic Eutrocryepts","#839D5D"
"Humic Lithic Eutrudepts","#8D7A59"
"Humic Lithic Haploxerepts","#BA5DE1"
"Humic Pachic Dystrudepts","#608ECA"
"Humic Pergelic Cryaquepts","#B65DE1"
"Humic Placocryods","#F05AB6"
"Humic Psammentic Dystrudepts","#F9576F"
"Humic Rhodic","#BB5DE2"
"Humic Rhodic Acroperox","#8D7C5A"
"Humic Rhodic Acrudox","#925EDB"
"Humic Rhodic Acrustox","#72A35E"
"Humic Rhodic Eutroperox","#60B5C0"
"Humic Rhodic Eutrudox","#FC5659"
"Humic Rhodic Eutrustox","#5FAE73"
"Humic Rhodic Haploperox","#60A7C4"
"Humic Rhodic Hapludox","#609EC6"
"Humic Rhodic Haplustox","#72A35E"
"Humic Rhodic Kandiperox","#5F7CCD"
"Humic Rhodic Kandiudox","#ED5ACA"
"Humic Rhodic Kandiustox","#60B799"
"Humic Sombriperox","#ED5AC5"
"Humic Sombriudox","#835F57"
"Humic Sombriustox","#90865A"
"Humic Udivitrands","#8E985C"
"Humic Ustivitrands","#F159B0"
"Humic Vitricryands","#62A85F"
"Humic Vitrigelands","#65A75E"
"Humic Vitrixerands","#FA576A"
"Humic Xanthic Acroperox","#869C5D"
"Humic Xanthic Acrudox","#F8577D"
"Humic Xanthic Acrustox","#886B58"
"Humic Xanthic Eutroperox","#A15DDE"
"Humic Xanthic Eutrudox","#879B5D"
"Humic Xanthic Eutrustox","#8E7D5A"
"Humic Xanthic Haploperox","#F85776"
"Humic Xanthic Hapludox","#60B48C"
"Humic Xanthic Haplustox","#60B282"
"Humic Xanthic Kandiperox","#6095C8"
"Humic Xanthic Kandiudox","#65A75E"
"Humic Xanthic Kandiustox","#F259A8"
"Humic Xeric Vitricryands","#5FAA62"
"Humoxic","#8E7D5A"
"Humoxic Tropohumults","#6CA55E"
"Hydraquentic Humaquepts","#60BDBE"
"Hydraquentic Sulfaquepts","#92965C"
"Hydric Borofibrists","#5F7DCD"
"Hydric Borohemists","#608ACA"
"Hydric Cryofibrists","#8F815A"
"Hydric Cryohemists","#6CA55E"
"Hydric Durudands","#5FAE73"
"Hydric Dystrandepts","#EF5AB8"
"Hydric Endoaquands","#60BDBE"
"Hydric Epiaquands","#8E985C"
"Hydric Frasiwassents","#60B693"
"Hydric Fulvudands","#995EDD"
"Hydric Haplofibrists","#EA5BDA"
"Hydric Haplohemists","#8C7759"
"Hydric Hapludands","#9C5EDD"
"Hydric Lithic Dystrandepts","#B15DE0"
"Hydric Lithic Fulvudands","#FB5664"
"Hydric Medifibrists","#60B282"
"Hydric Medihemists","#F6588C"
"Hydric Melanaquands","#D05CE4"
"Hydric Melanudands","#60B48C"
"Hydric Pachic Durudands","#60A2C5"
"Hydric Pachic Fulvudands","#846057"
"Hydric Pachic Melanaquands","#608BCA"
"Hydric Pachic Melanudands","#5F7ACE"
"Hydric Pachic Placudands","#5F76CF"
"Hydric Placudands","#EB5BD3"
"Hydric Sphagnofibrists","#60B1C1"
"Hydric Thaptic Fulvudands","#8D985C"
"Hydric Thaptic Hapludands","#94935B"
"Hydric Tropofibrists","#5FB17D"
"Hydric Tropohemists","#60A2C5"
"Inceptic Eutroperox","#F8577C"
"Inceptic Eutrudox","#60BAAB"
"Inceptic Eutrustox","#5F75CF"
"Inceptic Fragixeralfs","#6098C7"
"Inceptic Haplocryalfs","#65A75E"
"Inceptic Haploxeralfs","#FA576A"
"Inceptic Hapludalfs","#6FA45E"
"Inceptic Hapludox","#90865A"
"Inceptic Hapludults","#605FD3"
"Inceptic Haplustalfs","#5FAA63"
"Inceptic Haplustox","#91885A"
"Inceptic Haprendolls","#F7577F"
"Inceptic Rhodoxeralfs","#EE5AC0"
"Kandic Albaquults","#8D985C"
"Kandic Paleustalfs","#68A65E"
"Kandic Plinthaquults","#5FB17F"
"Kandic Plinthustalfs","#71A45E"
"Kandiudalfic Eutroperox","#8D7B59"
"Kandiudalfic Eutrudox","#60BABF"
"Kandiustalfic Eutrustox","#F4589A"
"Kanhaplic Haplustalfs","#896F58"
"Kanhaplic Haplustults","#5FAB65"
"Kanhaplic Rhodustalfs","#5FAF77"
"Lamellic Argiudolls","#F7577F"
"Lamellic Cryoboralfs","#5FAC68"
"Lamellic Cryochrepts","#866658"
"Lamellic Cryopsamments","#9A5EDD"
"Lamellic Cryorthents","#E95BDD"
"Lamellic Dystrochrepts","#60B79B"
"Lamellic Dystrocryepts","#8E7E5A"
"Lamellic Dystrudepts","#7F9E5D"
"Lamellic Eutroboralfs","#608FC9"
"Lamellic Eutrochrepts","#B35DE0"
"Lamellic Eutrocryepts","#5F71D0"
"Lamellic Eutrudepts","#C75CE3"
"Lamellic Glossoboralfs","#5FAC68"
"Lamellic Haplocryalfs","#866758"
"Lamellic Haplocryepts","#5F72CF"
"Lamellic Haplorthods","#60B695"
"Lamellic Haploxeralfs","#8A7059"
"Lamellic Haploxerepts","#60A95F"
"Lamellic Haploxerults","#5FAF77"
"Lamellic Hapludalfs","#635FD4"
"Lamellic Hapludults","#60B3C1"
"Lamellic Haplustalfs","#755ED7"
"Lamellic Haplustepts","#F05AB4"
"Lamellic Humicryepts","#90855A"
"Lamellic Oxyaquic Eutroboralfs","#A55DDE"
"Lamellic Oxyaquic Haplorthods","#8A5EDA"
"Lamellic Paleudalfs","#60B388"
"Lamellic Paleudults","#60B798"
"Lamellic Paleustalfs","#60B8A0"
"Lamellic Palexeralfs","#6086CB"
"Lamellic Quartzipsamments","#886B58"
"Lamellic Udipsamments","#835E57"
"Lamellic Ustic Quartzipsamments","#F75882"
"Lamellic Ustipsamments","#60BCBE"
"Lamellic Ustochrepts","#6BA65E"
"Lamellic Xerochrepts","#ED5AC6"
"Lamellic Xeropsamments","#FB565F"
"Leptic Calcitorrerts","#805656"
"Leptic Calciusterts","#92965C"
"Leptic Calcixererts","#886C58"
"Leptic Dystraquerts","#60A5C4"
"Leptic Dystruderts","#78A15E"
"Leptic Dystrusterts","#F359A0"
"Leptic Endoaquerts","#69A65E"
"Leptic Epiaquerts","#60B89D"
"Leptic Gypsiusterts","#60BAAA"
"Leptic Haplogypsids","#F75883"
"Leptic Haplotorrerts","#5FAE71"
"Leptic Haploxererts","#609FC6"
"Leptic Hapluderts","#8D7C5A"
"Leptic Haplusterts","#5FAD6E"
"Leptic Natralbolls","#60B799"
"Leptic Natriborolls","#C45CE3"
"Leptic Natrudolls","#BA5DE1"
"Leptic Natrustalfs","#608FCA"
"Leptic Natrustolls","#67A75E"
"Leptic Salaquerts","#5FAB64"
"Leptic Salitorrerts","#60ADC3"
"Leptic Salusterts","#6091C9"
"Leptic Torrertic Natrustalfs","#938F5B"
"Leptic Torrertic Natrustolls","#F65887"
"Leptic Udic Haplusterts","#6F5FD6"
"Leptic Vertic Natriborolls","#9E5DDD"
"Leptic Vertic Natrudolls","#5FAE72"
"Leptic Vertic Natrustolls","#60BAA7"
"Limnic Borofibrists","#D95CE6"
"Limnic Borohemists","#F85779"
"Limnic Borosaprists","#655FD4"
"Limnic Cryosaprists","#F3599D"
"Limnic Haplofibrists","#8B7359"
"Limnic Haplohemists","#8C7759"
"Limnic Haplosaprists","#705FD6"
"Limnic Medifibrists","#63A85F"
"Limnic Medihemists","#5F62D2"
"Limnic Medisaprists","#77A15E"
"Limnic Sphagnofibrists","#73A35E"
"Limnic Tropofibrists","#6088CB"
"Limnic Tropohemists","#5F85CC"
"Limnic Troposaprists","#5F7CCD"
"Lithic Acroperox","#856257"
"Lithic Acrotorrox","#8B995C"
"Lithic Acrudox","#F259A3"
"Lithic Acrustox","#8F825A"
"Lithic Alaquods","#876958"
"Lithic Anhyorthels","#F45894"
"Lithic Anhyturbels","#C15DE2"
"Lithic Aquiturbels","#F5588D"
"Lithic Aquorthels","#609DC6"
"Lithic Argiborolls","#A95DDF"
"Lithic Argicryids","#74A25E"
"Lithic Argicryolls","#F4599B"
"Lithic Argigypsids","#5F6FD0"
"Lithic Argiorthels","#60B9A4"
"Lithic Argiudolls","#846257"
"Lithic Argiustolls","#DE5CE6"
"Lithic Argixerolls","#F95773"
"Lithic Borofibrists","#60AFC2"
"Lithic Borofolists","#94935B"
"Lithic Borohemists","#5F82CC"
"Lithic Borosaprists","#846057"
"Lithic Calciargids","#896F58"
"Lithic Calciborolls","#5F63D2"
"Lithic Calcicryepts","#8E5EDB"
"Lithic Calcicryids","#60B48C"
"Lithic Calcicryolls","#92955B"
"Lithic Calcigypsids","#975EDC"
"Lithic Calciorthids","#F059B2"
"Lithic Calciudolls","#EE5AC0"
"Lithic Calciustepts","#5FAF77"
"Lithic Calciusterts","#928C5B"
"Lithic Calciustolls","#6090C9"
"Lithic Calcixerepts","#60B58F"
"Lithic Calcixererts","#5FA95F"
"Lithic Calcixerolls","#F75885"
"Lithic Camborthids","#F8577D"
"Lithic Cryandepts","#91965C"
"Lithic Cryaquands","#5F7FCD"
"Lithic Cryaquepts","#BC5DE2"
"Lithic Cryaquods","#645FD4"
"Lithic Cryoboralfs","#8C7859"
"Lithic Cryoborolls","#B75DE1"
"Lithic Cryochrepts","#F8577A"
"Lithic Cryofibrists","#5F6AD1"
"Lithic Cryofolists","#EF5AB8"
"Lithic Cryohemists","#846057"
"Lithic Cryohumods","#5F80CD"
"Lithic Cryopsamments","#6095C8"
"Lithic Cryorthents","#5FAB67"
"Lithic Cryorthods","#825C56"
"Lithic Cryosaprists","#B85DE1"
"Lithic Cryrendolls","#60BABF"
"Lithic Cryumbrepts","#876858"
"Lithic Dystrandepts","#809E5D"
"Lithic Dystrochrepts","#5FAF78"
"Lithic Dystrocryepts","#FC565A"
"Lithic Dystrogelepts","#60B388"
"Lithic Dystropepts","#5F77CE"
"Lithic Dystroxerepts","#8B7659"
"Lithic Dystrudepts","#889A5C"
"Lithic Dystrustepts","#AC5DDF"
"Lithic Dystrusterts","#91885A"
"Lithic Endoaquands","#5F7BCE"
"Lithic Endoaquents","#5FAD6D"
"Lithic Endoaquepts","#94955B"
"Lithic Endoaquods","#5F7CCD"
"Lithic Endoaquolls","#60A2C5"
"Lithic Epiaquods","#605FD3"
"Lithic Eutrandepts","#8D7B59"
"Lithic Eutroboralfs","#6092C9"
"Lithic Eutrochrepts","#F45897"
"Lithic Eutrocryepts","#805656"
"Lithic Eutrogelepts","#866557"
"Lithic Eutropepts","#859C5D"
"Lithic Eutroperox","#FB5664"
"Lithic Eutrotorrox","#60AEC2"
"Lithic Eutrudepts","#5FA95F"
"Lithic Eutrudox","#ED5AC4"
"Lithic Eutrustox","#928A5B"
"Lithic Fibristels","#EB5BD6"
"Lithic Fluviwassents","#5F6BD1"
"Lithic Folistels","#60B89D"
"Lithic Frasiwassents","#F75883"
"Lithic Fulvicryands","#8D985C"
"Lithic Fulvudands","#C55CE3"
"Lithic Gelaquepts","#60BDBA"
"Lithic Glossoboralfs","#65A75E"
"Lithic Glossocryalfs","#866758"
"Lithic Gypsiusterts","#8A7159"
"Lithic Haplaquepts","#5F66D1"
"Lithic Haplaquolls","#8E7D5A"
"Lithic Haplargids","#62A85F"
"Lithic Haploborolls","#60B9A3"
"Lithic Haplocalcids","#8B995C"
"Lithic Haplocambids","#6BA55E"
"Lithic Haplocryalfs","#60BDB9"
"Lithic Haplocryands","#F6588A"
"Lithic Haplocryepts","#75A25E"
"Lithic Haplocryids","#60B9A3"
"Lithic Haplocryods","#F6588C"
"Lithic Haplocryolls","#925EDB"
"Lithic Haplofibrists","#F259A9"
"Lithic Haplogelepts","#D05CE4"
"Lithic Haplogelods","#665FD4"
"Lithic Haplogelolls","#60A6C4"
"Lithic Haplogypsids","#FB5661"
"Lithic Haplohemists","#72A35E"
"Lithic Haplohumods","#F3599F"
"Lithic Haplohumults","#6AA65E"
"Lithic Haploperox","#60BBB0"
"Lithic Haplorthels","#E95BE1"
"Lithic Haplorthods","#885EDA"
"Lithic Haplosaprists","#609CC7"
"Lithic Haplotorrands","#F259A3"
"Lithic Haplotorrox","#60B592"
"Lithic Haploturbels","#8F825A"
"Lithic Haplowassents","#91895A"
"Lithic Haploxeralfs","#825C56"
"Lithic Haploxerands","#60A8C4"
"Lithic Haploxerepts","#91875A"
"Lithic Haploxererts","#5F68D1"
"Lithic Haploxerolls","#9D5DDD"
"Lithic Haploxerults","#60B693"
"Lithic Hapludalfs","#60B2C1"
"Lithic Hapludands","#60B694"
"Lithic Hapluderts","#5FAD6E"
"Lithic Hapludolls","#F05AB6"
"Lithic Hapludox","#6F5FD6"
"Lithic Hapludults","#EC5ACB"
"Lithic Haplumbrepts","#7F5ED8"
"Lithic Haplustalfs","#655FD4"
"Lithic Haplustands","#60B590"
"Lithic Haplustepts","#60B8C0"
"Lithic Haplusterts","#60A3C5"
"Lithic Haplustolls","#8C7959"
"Lithic Haplustox","#5FAA63"
"Lithic Haplustults","#D95CE6"
"Lithic Haprendolls","#6AA65E"
"Lithic Hemistels","#ED5AC7"
"Lithic Historthels","#F359A2"
"Lithic Histoturbels","#60BBAC"
"Lithic Humicryepts","#608BCA"
"Lithic Humicryods","#DF5CE7"
"Lithic Humigelepts","#825A56"
"Lithic Humigelods","#60ACC3"
"Lithic Humitropepts","#D25CE5"
"Lithic Humixerepts","#FB5661"
"Lithic Humudepts","#5F72CF"
"Lithic Humustepts","#6094C8"
"Lithic Hydrandepts","#60B694"
"Lithic Hydrocryands","#8C995C"
"Lithic Hydrowassents","#889B5C"
"Lithic Hydrudands","#8A995C"
"Lithic Kandiperox","#876858"
"Lithic Kandiudox","#819E5D"
"Lithic Kandiustox","#90965C"
"Lithic Kanhaplohumults","#5F6ED0"
"Lithic Kanhapludalfs","#ED5AC8"
"Lithic Kanhapludults","#F8577A"
"Lithic Kanhaplustalfs","#60B8A0"
"Lithic Kanhaplustults","#6090C9"
"Lithic Medifibrists","#7AA05E"
"Lithic Medifolists","#60B89D"
"Lithic Medihemists","#E85BE7"
"Lithic Medisaprists","#CF5CE4"
"Lithic Melanaquands","#5F65D2"
"Lithic Melanocryands","#8B7559"
"Lithic Melanudands","#7F9E5D"
"Lithic Mollic Cryoboralfs","#5F6ED0"
"Lithic Mollic Haploxeralfs","#60BDB8"
"Lithic Mollic Vitrandepts","#F359A0"
"Lithic Molliturbels","#5FAB67"
"Lithic Mollorthels","#819D5D"
"Lithic Natrargids","#5F65D2"
"Lithic Natrigypsids","#6098C7"
"Lithic Petrocalcic Calciustepts","#7F5ED8"
"Lithic Petrocalcic Calciustolls","#60B1C2"
"Lithic Placaquands","#60BCB1"
"Lithic Placudands","#5FAE70"
"Lithic Psammaquents","#F159AC"
"Lithic Psammorthels","#5F81CC"
"Lithic Psammoturbels","#5FAF74"
"Lithic Psammowassents","#8C7659"
"Lithic Quartzipsamments","#865EDA"
"Lithic Rendolls","#7BA05D"
"Lithic Rhodoxeralfs","#60B590"
"Lithic Rhodudults","#6F5FD6"
"Lithic Rhodustalfs","#EF5ABA"
"Lithic Rhodustults","#5F69D1"
"Lithic Ruptic-Alfic Dystrochrepts","#975EDC"
"Lithic Ruptic-Alfic Eutrochrepts","#61A95F"
"Lithic Ruptic-Argic Cryoborolls","#91895B"
"Lithic Ruptic-Entic","#928D5B"
"Lithic Ruptic-Entic Cryoborolls","#60BBAC"
"Lithic Ruptic-Entic Cryumbrepts","#6DA55E"
"Lithic Ruptic-Entic Haplargids","#875EDA"
"Lithic Ruptic-Entic Hapludults","#825B56"
"Lithic Ruptic-Entic Haplustolls","#8E7E5A"
"Lithic Ruptic-Entic Xerollic Haplargids","#635FD4"
"Lithic Ruptic-Inceptic Haploxeralfs","#5FB07B"
"Lithic Ruptic-Inceptic Haploxerults","#63A85F"
"Lithic Ruptic-Ultic Dystrochrepts","#805555"
"Lithic Ruptic-Xerochreptic Haploxeralfs","#67A75E"
"Lithic Ruptic-Xerochreptic Haploxerults","#928B5B"
"Lithic Ruptic-Xerorthentic Xerochrepts","#60B2C1"
"Lithic Salusterts","#60BAAB"
"Lithic Sapristels","#90845A"
"Lithic Sombriperox","#5F81CC"
"Lithic Sombriudox","#7E9F5D"
"Lithic Sombriustox","#92965C"
"Lithic Sphagnofibrists","#6EA45E"
"Lithic Sulfiwassents","#E95BE2"
"Lithic Torrifolists","#9F5DDE"
"Lithic Torriorthents","#A45DDE"
"Lithic Torripsamments","#6094C8"
"Lithic Tropaquepts","#8E985C"
"Lithic Tropofibrists","#60B697"
"Lithic Tropofolists","#60BCB1"
"Lithic Tropohemists","#94955B"
"Lithic Tropopsamments","#609DC6"
"Lithic Troporthents","#60BCBE"
"Lithic Troposaprists","#60B48C"
"Lithic Tropudalfs","#6099C7"
"Lithic Udic","#67A75E"
"Lithic Udifolists","#8F825A"
"Lithic Udipsamments","#846157"
"Lithic Udivitrands","#60ABC3"
"Lithic Udorthents","#5FAF75"
"Lithic Ultic Argixerolls","#AB5DDF"
"Lithic Ultic Haploxerolls","#60B9A2"
"Lithic Umbric","#609EC6"
"Lithic Umbric Vitrandepts","#C95CE4"
"Lithic Umbriturbels","#F259A9"
"Lithic Umbrorthels","#E85BE5"
"Lithic Ustic Calciorthids","#7F9E5D"
"Lithic Ustic Haplargids","#879B5D"
"Lithic Ustic Haplocalcids","#866557"
"Lithic Ustic Haplocambids","#815956"
"Lithic Ustic Natrargids","#8E5EDB"
"Lithic Ustic Torriorthents","#5F63D2"
"Lithic Ustifolists","#60B48A"
"Lithic Ustipsamments","#735ED6"
"Lithic Ustivitrands","#8A7359"
"Lithic Ustochrepts","#5F66D2"
